"topic","name_vi","id","subject","status","file","sha256","review_note"
"vietnamese-cuisine","Món Việt","banh-mi","A Vietnamese banh mi baguette with pork, cucumber and cilantro peeking out","needs_alpha","_needs-alpha/vietnamese-cuisine/banh-mi.png","92FF93A2E6B727F0723331020EDD99A7FD813FF0D6DCD395AAE31B31EF8898B2",
"vietnamese-cuisine","Món Việt","pho-bo","A ceramic bowl of Vietnamese beef pho with flat noodles, herbs and beef slices","needs_alpha","_needs-alpha/vietnamese-cuisine/pho-bo.png","A57BCDE8DF78CBCFDCC1075ADC6DC0733181ECA29AB9AC5EECD3B4F69F48D709",
"vietnamese-cuisine","Món Việt","banh-xeo","A folded golden Vietnamese crispy pancake showing shrimp and bean sprouts","needs_alpha","_needs-alpha/vietnamese-cuisine/banh-xeo.png","13CCD4D106BA4382DBB593FFFBEABF5D49EF5F77145CDFBA80657E1CF9BA59CB",
"vietnamese-cuisine","Món Việt","goi-cuon","Two translucent Vietnamese fresh spring rolls showing shrimp, herbs and vermicelli","needs_alpha","_needs-alpha/vietnamese-cuisine/goi-cuon.png","688FCA397F4564B8C0B34ECB041E39E7D58FFBBE2D319B1C37EF722E314F34AC",
"vietnamese-cuisine","Món Việt","bun-cha","A compact serving of Vietnamese grilled pork with rice noodles and dipping bowl","alpha_verified","stickers/vietnamese-cuisine/bun-cha.png","1544C9530FDD7098C3AD875BCF973F3E3089AD24B7506170CF3AF8AB6076EB04",
"vietnamese-cuisine","Món Việt","banh-cuon","Soft Vietnamese steamed rice rolls topped with crisp shallots","alpha_verified","stickers/vietnamese-cuisine/banh-cuon.png","E019FC8CC143FC9869FDC4F277882CE9A5E44C82CF1A4AEBDA22047536C7C1F2",
"vietnamese-cuisine","Món Việt","banh-chung","One square Vietnamese banh chung wrapped in dark green leaves and crossed bamboo ties","alpha_verified","stickers/vietnamese-cuisine/banh-chung.png","9C3340A98B52F04A2571A3A845A05108610C969396680FB13EC2880979F92FE0",
"vietnamese-cuisine","Món Việt","che-ba-mau","A clear dessert glass with three distinct layers of Vietnamese beans, jelly and coconut milk","alpha_verified","stickers/vietnamese-cuisine/che-ba-mau.png","1E4E2272DFF59F88104C78A9C5F58A2C4BCB0CFF6989A3684D7C8E62E5125680",
"vietnamese-tet","Tết Việt","banh-chung","One square Vietnamese banh chung wrapped in dark green leaves and crossed bamboo ties","alpha_verified","stickers/vietnamese-tet/banh-chung.png","9C3340A98B52F04A2571A3A845A05108610C969396680FB13EC2880979F92FE0",
"vietnamese-tet","Tết Việt","tet-lucky-envelope","A red Vietnamese lucky money envelope decorated with a simple gold blossom, no writing","needs_alpha","_needs-alpha/vietnamese-tet/tet-lucky-envelope.png","296E977D628D0D5892AF93F5D54243A7805C6BE8F6DC1C577081A4D9FEE394AF",
"vietnamese-tet","Tết Việt","tet-kumquat-pot","A small festive kumquat tree with orange fruits in a red ceramic pot","alpha_verified","stickers/vietnamese-tet/tet-kumquat-pot.png","85419597148A4685551B324BE1C89BE460EDE99AC6D4B3D3C33D3D5CAC10205B",
"vietnamese-tet","Tết Việt","tet-peach-blossom","A graceful branch of pink peach blossoms tied with a red ribbon","alpha_verified","stickers/vietnamese-tet/tet-peach-blossom.png","BEB0923C5158A6DB78204A6D26B90D782217ADDFA2FA5482EFD03FE0490CD531",
"vietnamese-tet","Tết Việt","tet-lion-head","A cheerful Vietnamese lion dance head with red, cream and gold fabric details","alpha_verified","stickers/vietnamese-tet/tet-lion-head.png","0304462B13DB8AC0C53F4247B534B435E0EECE0BD86DB299EA06B3DA507CFEFC",
"vietnamese-tet","Tết Việt","tet-watermelon","A round watermelon and one triangular red slice arranged as a single sticker","alpha_verified","stickers/vietnamese-tet/tet-watermelon.png","AF8D0E185A50A74FCC0BA0BDC4D1F8EFD34A0DF787D8860BFB3B6AB8B04016FA",
"vietnamese-tet","Tết Việt","tet-coconut-candy-tray","A round divided lacquer tray filled with curled colorful candied coconut strips","alpha_verified","stickers/vietnamese-tet/tet-coconut-candy-tray.png","C9B70FE052FE8FB2CD8410B0E472CDC63DD022D785FF73A35E311FDC775D08F8",
"vietnamese-tet","Tết Việt","tet-firecracker-string","A decorative hanging string of red cylindrical firecrackers with gold bands","alpha_verified","stickers/vietnamese-tet/tet-firecracker-string.png","90039C47F04D7A798303E0CC86519748C3AEB52F69ED81014D6F015C741F6002",
"beekeeping","Nghề nuôi ong","beehive-skep","A golden straw skep beehive with a small entrance and one tiny friendly bee","needs_alpha","_needs-alpha/beekeeping/beehive-skep.png","8F07FD7C89091D0B09C56E46A5FC7B98BC82B2454BA684E98C34D7D123394D10",
"beekeeping","Nghề nuôi ong","honey-dipper","A wooden honey dipper with a small ribbon of golden honey","alpha_verified","stickers/beekeeping/honey-dipper.png","AAA0809D420432AF0CB003E85E27CD7D26A335BA84E87C8E395209C7145C449C",
"beekeeping","Nghề nuôi ong","bee-smoker","A metal beekeeping smoker with a brown bellows and a tiny curl of smoke","alpha_verified","stickers/beekeeping/bee-smoker.png","6D9488E14FEE9A36B85EEDD16EBA3EEE8C4ED3ACA35838EA86F7AB5168A829CB",
"beekeeping","Nghề nuôi ong","beekeeper-veil-hat","A wide brim straw beekeeping hat with a white mesh veil, no person","needs_alpha","_needs-alpha/beekeeping/beekeeper-veil-hat.png","4FFB8FE3468E6702540E182B6839DFAB75DFC6E2E20416627377B3BA9E984DFF",
"beekeeping","Nghề nuôi ong","honeycomb-frame","A rectangular wooden beehive frame filled with hexagonal golden honeycomb","alpha_verified","stickers/beekeeping/honeycomb-frame.png","8A42C8F6972C22EFBD864B220D267044B32EFAA366AE148266DDA4DB0959E0C1",
"beekeeping","Nghề nuôi ong","honey-extractor","A small stainless steel honey extractor drum with a hand crank and honey tap","alpha_verified","stickers/beekeeping/honey-extractor.png","9EA747B40BBC0B584C492B055C97B42F56EFBF1ECD6481C72150E33650F3F6E9",
"beekeeping","Nghề nuôi ong","beekeeper-gloves","A pair of long cream beekeeping gloves with pale yellow hands","alpha_verified","stickers/beekeeping/beekeeper-gloves.png","2288834B927A3F2C773D1AC8010A5C98BB98E1B4DA2B4553B4C707D991D5EA6D",
